user_id,review_count,average_stars,is_elite
0G-QF457q_0Z_jKqh6xWiA,2009,4.1,1
ouODopBKF3AqfCkuQEnrDg,2108,3.57,1
HzoQKKHDq9BI37dyJAAtGA,1145,3.67,1
JITevzyEgskIJc6sgOyEgw,645,3.89,1
hHDltEEGlvuhRjDvfbYpqg,1228,3.54,1
KVbMZV-XJPSH9wXEwuXIaA,426,2.69,1
BgZwJBhVWKq1Urs4rKBdiA,1545,3.51,1
eTvp_hYnsrI5-ow_sQ31_g,1028,4.05,1
kLm3B6LeboEZWX_4otpILA,1670,3.65,1
ox4AXdK4C2ADe5loj66mGg,61,4.14,1
2XKlUjHGk9z-2ckFMcBEHw,731,3.95,1
2YKkLFeOx-0zRcWp0KUv_Q,564,3.69,1
GG0mFsEXb-02_dzFPqRV1Q,754,3.46,1
k_muz40jJaiY1PVga6NDXA,1070,3.84,1
zHvS1F_6wOPSLUk6vpDEGA,1171,3.64,1
WWnhqRnWWjutMqh-2SzEuQ,3960,4.23,1
ojxS1v-8nUvEEx4DlsPQrA,655,3.69,1
d1LU2oIXZ3QaU5fZ3Jp2HQ,159,3.08,1
FlXBpK_YZxLo27jcMdII1w,1158,4.02,1
TvsPmBJt_Ei1RdOtVhjjiQ,621,3.7,1
XnWTpZeb0atyolIc5-XRUw,267,4.08,1
GmQR50bIII7gDNRYEgfXfA,1770,4.17,1
L4Rlr_iHSW_wnemqmksmKw,15,4.87,1
kF2sEC2B1nJlxVFr_jaEQA,198,4.15,1
ZIOCmdFaMIF56FR-nWr_2A,3315,3.77,1
6snhyTl6iU8ti-1EIJuFvQ,14,4.8,1
u1cvQWB0lB4YsIbtSlUR7g,150,4.21,1
9uTysypqImdsxJDlBXz_Ag,100,3.15,1
fR6bUB3KSE_1QqTMo-2oNQ,305,4.17,1
vScaSrM91Z43ypSR9VfKGg,205,3.67,1
_BcWyKQL16ndpBdggh2kNA,4274,3.69,1
U0xGfiR67p5fgV_7bPrBtg,6,4.14,1
upQwDazroow3rjNMW4PZww,193,3.74,1
OriZprtD3fn9PPHIdQq6Zw,568,4.04,1
6ubS10S2wua-5ZTU4R5f3A,62,4.27,1
o5STsEtfvD1Ig0J7Z-1uxA,2469,4.17,1
ahnaBpvC29I66u_6JRzQFw,54,3.41,1
p4UcEYTLJyh96o1R8wrJaQ,1466,3.86,1
UKqHsncvfuWjtaeOZNFv3Q,10,4.2,1
Xw7ZjaGfr0WNVt6s_5KZfA,2272,4.1,1
YAIxImxlu3jlSdG91T2Pig,253,4.22,1
